# Broad line (BL)   
# Neon-5 (NeV) 
# host dominated (HD) 
# broad absorption line (BAL) 
ID  |Type 
2   |BL 
3   |NeV 
5   |BL 
6   |BL 
7   |BL 
8   |BL 
9   |Noisy 
10  |Noisy? 
11  |NeV? 
12  |BL 
13  |BL 
15  |BL 
16  |BL 
17  |BL 
18  |BL 
20  |BL 
21  |BL 
22  |BL 
23  |BL 
24  |BL 
26  |BL?, HD 
27  |Noisy 
28  |BL 
29  |BL 
30  |BL 
31  |HD 
32  |NeV?, HD 
33  |BL 
34  |BL 
35  |BL 
36  |BL 
37  |BL 
39  |BL? 
40  |BL 
41  |BL 
42  |HD 
43  |BL (Ne V?) 
44  |BL 
45  |Noisy 
47  |BL 
49  |NeV 
50  |NeV 
51  |BL 
52  |BL 
53  |Noisy 
55  |Noisy 
56  |BL 
57  |Noisy 
59  |Noisy 
60  |BL 
61  |BL 
62  |Noisy 
63  |BL 
64  |BL 
65  |Noisy 
66  |BL 
67  |Noisy 
68  |BL 
69  |Noisy 
70  |BL 
71  |BL 
72  |BL 
73  |BL 
74  |Noisy 
75  |BL 
76  |NeV 
77  |BL 
78  |BL 
79  |BL 
80  |Noisy 
81  |BL 
82  |BL 
84  |HD 
85  |BL 
86  |NeV 
87  |BL 
89  |BL 
90  |BL 
91  |BL 
92  |BL 
93  |BL 
95  |BL 
96  |BL 
97  |BL 
98  |BL 
99  |BL 
100 |BL 
101 |BL 
102 |BL 
103 |Noisy 
104 |BL 
105 |BL 
106 |NeV 
107 |BL? 
108 |BL? 
109 |BL 
110 |HD 
111 |Noisy 
112 |BL 
113 |BL? 
114 |BL 
117 |NeV? 
119 |BL 
120 |BL 
121 |BL 
122 |BL 
123 |NeV 
124 |BL 
125 |BL 
126 |BL 
127 |Bad spectrum 
128 |BL 
129 |Noisy 
130 |BL 
131 |BL 
132 |BL 
133 |BL 
134 |BL 
136 |BL 
138 |BL 
139 |BL 
140 |BL 
141 |BL 
142 |BL 
143 |BL 
144 |BL 
145 |Noisy 
146 |BL 
147 |BL 
149 |BL 
150 |BL 
151 |BL 
152 |BL 
153 |HD 
154 |NeV 
155 |BL 
156 |BL 
157 |BL? 
159 |HD 
160 |BL 
161 |Noisy 
162 |BL 
163 |Bad spectrum (can go back) 
164 |Noisy 
166 |Noisy 
167 |Noisy 
168 |BL 
169 |BL? 
170 |BL 
171 |BL 
172 |BL 
174 |BL 
175 |BL 
177 |BL 
179 |BL 
180 |BL 
181 |BL 
182 |NeV? 
183 |Noisy 
184 |BL 
185 |BL 
186 |BL? 
189 |Noisy 
190 |BL 
191 |BL? 
192 |BL 
193 |BL? 
194 |HD 
195 |BL 
196 |BL 
197 |BL 
198 |BL 
199 |BL 
200 |BL 
201 |BL 
203 |BL 
204 |BL 
205 |BL? 
206 |Noisy 
207 |BL 
209 |BL 
210 |Noisy 
211 |BL 
212 |BL 
213 |BL? 
214 |BL 
215 |BL 
218 |BL 
220 |Noisy 
221 |Noisy 
222 |BL 
223 |HD 
224 |BL 
225 |BL 
227 |BL 
228 |BL 
230 |BL 
231 |BL 
232 |BL 
233 |Noisy 
234 |Noisy 
235 |BL 
236 |BL 
237 |BL 
238 |BL 
239 |BL 
240 |BL 
241 |BL 
242 |BL 
243 |BL 
244 |BL 
245 |NeV 
246 |Noisy 
247 |Noisy 
249 |BL 
250 |BL? 
252 |BL 
253 |BL 
254 |Noisy 
255 |BL 
256 |BL 
257 |Noisy 
258 |BL 
260 |BL 
261 |BL 
262 |BL 
263 |BL? 
264 |BL 
265 |BL 
