# 
# 
# 
Name RA dec g SNR sigma_LB lgM dchi2 lgtau z_ph z_ph_plus z_ph_minus z_sp "z_sp source" W1-W2 lgF Field z_simb r_z_simb z_ozdes z_desi z_best ID comment
J032833.79-271056.42 52.1408 -27.1823 23.7 14.2 13.3 "$10.1 \pm 0.4$" 0.1 "$3.2 \pm 0.6$" 1.02 0.03 0.04 nan None 0.4 nan SN-C3 -1.0 "" -1.0 -1.0 1.02 1 ""
J032951.20-271057.43 52.4633 -27.1826 23.4 15.3 12.7 "$7.8 \pm 0.7$" 0.1 "$1.9 \pm 0.3$" 0.24 0.04 0.02 nan None 18.6 nan SN-C3 -1.0 "" -1.0 -1.0 0.24 2 ""
J032944.64-271107.53 52.436 -27.1854 23.4 20.1 16.3 "$9.4 \pm 0.5$" 0.0 "$2.4 \pm 0.8$" 1.09 0.02 0.02 nan None 0.9 nan SN-C3 -1.0 "" -1.0 -1.0 1.09 3 ""
J032845.45-271117.18 52.1894 -27.1881 21.5 22.8 18.3 "$9.7 \pm 0.0$" 5.0 "$1.7 \pm 0.2$" 1.3 0.10 0.15 nan None 1.1 nan SN-C3 -1.0 "" -1.0 -1.0 1.3 4 ""
J032843.19-271117.75 52.1799 -27.1883 23.8 13.4 12.4 "$8.8 \pm 0.5$" 0.0 "$2.7 \pm 0.8$" 0.6 0.25 0.05 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.6 5 ""
J032850.22-271208.00 52.2093 -27.2022 19.2 26.1 20.3 "$10.2 \pm 0.6$" 0.0 "$2.7 \pm 0.6$" 0.9 0.40 0.30 nan None 1.1 nan SN-C3 0.803 2017AJ....153..107T 0.8018800020217896 -1.0 0.8018800020217896 6 ""
J032913.11-271213.79 52.3046 -27.2038 22.9 21.6 17.2 "$10.4 \pm 0.5$" 0.3 "$2.2 \pm 0.7$" 1.25 0.15 0.10 nan None 1.0 nan SN-C3 -1.0 "" -1.0 -1.0 1.25 7 ""
J032847.11-271553.99 52.1963 -27.265 21.1 23.6 19.0 "$7.3 \pm 0.1$" 3.2 "$3.6 \pm 0.4$" 0.08 0.03 0.04 2.9784 2dF 18.1 nan SN-C3 -1.0 "" -1.0 -1.0 2.9784 8 ""
J033039.78-271740.97 52.6658 -27.2947 24.1 10.0 11.7 "$9.6 \pm 0.5$" 0.4 "$1.9 \pm 0.4$" 1.45 0.02 0.02 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 1.45 9 ""
J033133.59-272010.05 52.89 -27.3361 23.4 12.9 14.4 "$9.4 \pm 0.4$" 0.2 "$2.8 \pm 0.8$" 1.45 0.01 0.02 nan None 1.2 nan SN-C3 -1.0 "" -1.0 -1.0 1.45 10 ""
J033112.06-272056.04 52.8003 -27.3489 24.1 9.8 10.2 "$8.9 \pm 0.4$" 0.3 "$2.3 \pm 0.8$" 1.49 nan} .03} nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 1.49 11 ""
J033139.11-272234.08 52.913 -27.3761 23.2 21.3 17.4 "$9.8 \pm 0.5$" 0.3 "$2.7 \pm 0.7$" 1.3 0.10 0.15 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 1.3 12 ""
J033119.54-272426.99 52.8314 -27.4075 22.7 21.6 18.7 "$7.4 \pm 0.5$" 0.0 "$2.8 \pm 0.8$" 0.15 0.01 0.01 nan None 18.6 nan SN-C3 -1.0 "" -1.0 -1.0 0.15 13 ""
J033025.47-272821.96 52.6061 -27.4728 20.2 25.2 19.7 "$9.6 \pm 0.6$" 0.1 "$2.4 \pm 0.6$" 0.65 0.45 0.20 0.6266 2dF 0.9 nan SN-C3 -1.0 "" -1.0 -1.0 0.6266 14 ""
J033037.27-272906.31 52.6553 -27.4851 21.0 25.4 19.2 "$9.9 \pm 0.6$" 0.0 "$2.4 \pm 0.7$" 1.25 0.05 0.10 nan None 1.1 nan SN-C3 -1.0 "" -1.0 -1.0 1.25 15 ""
J033101.53-272915.69 52.7564 -27.4877 23.6 21.1 17.2 "$8.0 \pm 0.8$" 0.0 "$3.4 \pm 0.5$" 0.25 0.01 0.02 nan None 1.1 nan SN-C3 -1.0 "" -1.0 -1.0 0.25 16 ""
J032838.03-271843.94 52.1585 -27.3122 21.3 24.5 19.2 "$10.1 \pm 0.6$" 0.1 "$2.4 \pm 0.8$" 1.2 0.05 0.55 1.119 2dF 1.0 nan SN-C3 -1.0 "" -1.0 -1.0 1.119 17 ""
J032808.96-272120.18 52.0373 -27.3556 20.5 25.6 19.9 "$10.1 \pm 0.1$" 1.9 "$2.1 \pm 0.6$" 1.4 0.05 0.45 nan None 1.2 nan SN-C3 -1.0 "" -1.0 -1.0 1.4 18 ""
J032805.70-272508.21 52.0238 -27.4189 22.2 21.5 16.8 "$7.7 \pm 0.2$" 1.3 "$2.0 \pm 0.3$" 0.17 0.02 0.02 nan None 18.5 nan SN-C3 -1.0 "" -1.0 -1.0 0.17 19 ""
J032851.64-272453.66 52.2152 -27.4149 23.0 22.5 18.0 "$9.7 \pm 0.6$" 0.0 "$2.2 \pm 0.5$" 0.9 0.20 0.05 0.7896 2dF 0.8 nan SN-C3 -1.0 "" -1.0 -1.0 0.7896 20 ""
J032925.59-271838.04 52.3566 -27.3106 23.7 13.6 14.6 "$9.5 \pm 0.6$" 0.2 "$2.2 \pm 0.6$" 1.14 0.01 0.04 nan None 18.6 nan SN-C3 -1.0 "" -1.0 -1.0 1.14 21 ""
J032915.30-272014.55 52.3138 -27.3374 23.8 8.5 10.2 "$9.3 \pm 0.5$" 0.1 "$2.3 \pm 0.6$" 0.89 0.02 0.02 nan None 0.9 nan SN-C3 -1.0 "" -1.0 -1.0 0.89 22 ""
J032930.34-272037.66 52.3764 -27.3438 22.2 24.0 18.4 "$7.2 \pm 0.5$" 0.1 "$2.1 \pm 0.3$" 0.11 0.01 0.01 nan None 0.5 nan SN-C3 -1.0 "" -1.0 -1.0 0.11 23 ""
J033011.41-272133.13 52.5475 -27.3592 23.3 15.3 13.5 "$7.4 \pm 0.6$" 0.0 "$1.7 \pm 0.3$" 0.25 0.01 0.02 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.25 24 ""
J032927.43-272239.34 52.3643 -27.3776 23.2 19.6 16.7 "$8.3 \pm 0.7$" 0.0 "$2.8 \pm 0.7$" 0.34 0.01 0.01 nan None 22.5 nan SN-C3 -1.0 "" -1.0 -1.0 0.34 25 ""
J033239.88-271804.91 53.1662 -27.3014 22.0 19.2 16.9 "$8.4 \pm 0.3$" 0.6 "$2.4 \pm 0.5$" 0.15 0.03 0.02 nan None 1.2 nan SN-C3 -1.0 "" -1.0 -1.0 0.15 26 ""
J033242.77-271852.67 53.1782 -27.3146 24.2 6.7 7.4 "$9.1 \pm 0.5$" -0.0 "$2.8 \pm 0.7$" 1.36 0.02 0.01 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 1.36 27 ""
J033210.49-271942.64 53.0437 -27.3285 23.9 10.2 11.3 "$9.8 \pm 0.4$" 0.1 "$2.7 \pm 0.7$" 0.91 0.02 0.01 nan None 1.0 nan SN-C3 -1.0 "" -1.0 -1.0 0.91 28 ""
J033318.95-271931.71 53.3289 -27.3255 22.4 19.8 16.5 "$8.2 \pm 0.4$" 0.3 "$3.1 \pm 0.8$" 0.15 0.20 0.10 nan None 1.0 nan SN-C3 -1.0 "" -1.0 -1.0 0.15 29 ""
J033218.59-272300.34 53.0775 -27.3834 22.5 21.6 17.5 "$10.3 \pm 0.5$" 0.3 "$1.9 \pm 0.4$" 1.05 0.15 0.15 nan None 0.7 nan SN-C3 -1.0 "" -1.0 -1.0 1.05 30 ""
J032914.16-272716.67 52.309 -27.4546 22.4 15.6 14.3 "$7.0 \pm 0.2$" 1.7 "$2.8 \pm 0.7$" 0.06 0.03 0.02 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.06 31 ""
J032949.91-273124.12 52.458 -27.5234 23.7 15.6 14.0 "$9.8 \pm 0.5$" 0.1 "$2.1 \pm 0.5$" 1.28 0.02 0.01 nan None 0.9 nan SN-C3 -1.0 "" -1.0 -1.0 1.28 32 ""
J032939.35-273217.37 52.414 -27.5382 22.5 16.7 15.5 "$6.8 \pm 0.4$" 0.3 "$2.4 \pm 0.5$" 0.07 0.02 0.03 nan None 18.7 nan SN-C3 -1.0 "" -1.0 -1.0 0.07 33 ""
J032923.82-273433.24 52.3492 -27.5759 22.0 23.2 17.9 "$10.5 \pm 0.5$" 0.1 "$2.6 \pm 0.8$" 1.25 0.05 0.10 1.0239 2dF 16.9 nan SN-C3 -1.0 "" -1.0 -1.0 1.0239 34 ""
J032837.65-273538.79 52.1569 -27.5941 23.2 16.1 13.5 "$10.2 \pm 0.5$" 0.6 "$1.8 \pm 0.3$" 1.1 0.05 0.05 nan None 0.8 nan SN-C3 -1.0 "" -1.0 -1.0 1.1 35 ""
J032851.89-273530.45 52.2162 -27.5918 22.6 23.0 18.7 "$8.9 \pm 0.5$" 0.0 "$2.5 \pm 0.6$" 0.4 0.02 0.02 nan None 1.0 nan SN-C3 -1.0 "" -1.0 -1.0 0.4 36 ""
J032849.32-280716.04 52.2055 -28.1211 23.3 15.2 13.6 "$9.4 \pm 0.6$" 0.1 "$2.0 \pm 0.4$" 1.01 0.01 0.05 nan None 1.2 nan SN-C3 -1.0 "" -1.0 -1.0 1.01 37 ""
J033004.09-273029.48 52.517 -27.5082 23.0 22.7 18.5 "$10.5 \pm 0.4$" 0.3 "$2.9 \pm 0.8$" 0.81 0.01 0.01 nan None 0.6 nan SN-C3 -1.0 "" -1.0 -1.0 0.81 38 ""
J033024.45-273055.58 52.6019 -27.5154 21.9 22.4 18.5 "$9.8 \pm 0.4$" 0.2 "$2.8 \pm 0.8$" 1.3 0.15 0.05 nan None 1.3 nan SN-C3 -1.0 "" -1.0 -1.0 1.3 39 ""
J033032.94-273512.64 52.6372 -27.5868 23.0 20.5 17.1 "$10.2 \pm 0.6$" 0.3 "$2.4 \pm 0.7$" 1.2 0.05 0.10 nan None 22.5 nan SN-C3 -1.0 "" -1.0 -1.0 1.2 40 ""
J033012.78-273532.28 52.5532 -27.5923 23.0 20.1 16.9 "$7.8 \pm 0.5$" 0.0 "$3.1 \pm 0.7$" 0.24 0.03 0.02 nan None 18.1 nan SN-C3 -1.0 "" -1.0 -1.0 0.24 41 ""
J033204.06-273725.78 53.0169 -27.6238 22.4 24.1 19.0 "$9.8 \pm 0.4$" 0.1 "$2.6 \pm 0.7$" 1.3 0.05 0.10 nan None 17.7 -13.76 SN-C3 0.966 2015ApJ...815..129S -1.0 -1.0 0.966 42 ""
J033226.50-274035.89 53.1104 -27.6766 19.9 24.9 19.4 "$10.4 \pm 0.1$" 1.9 "$2.6 \pm 0.8$" 1.05 0.60 0.20 1.0438 2dF 1.1 -14.02 SN-C3 1.031 2010ApJS..191..124S 1.04367995262146 -1.0 1.04367995262146 43 ""
J033227.01-274105.36 53.1125 -27.6848 19.6 25.1 20.0 "$10.2 \pm 0.6$" 0.0 "$3.3 \pm 0.5$" 0.75 0.30 0.10 0.7366 2dF 0.9 -13.23 SN-C3 -1.0 "" 0.7366999983787537 -1.0 0.7366999983787537 44 ""
J033230.22-274504.88 53.1259 -27.7514 22.3 21.0 17.6 "$8.9 \pm 0.5$" 0.2 "$2.0 \pm 0.3$" 0.45 0.05 0.10 0.7367 ACES 0.7 -14.18 SN-C3 0.7368 2011AJ....141...64X -1.0 -1.0 0.7368 45 ""
J033229.98-274530.19 53.1249 -27.7584 22.0 22.5 17.8 "$10.0 \pm 0.4$" 0.2 "$2.0 \pm 0.5$" 1.35 0.10 0.05 1.2209 2dF 0.9 -14.16 SN-C3 1.222 2015ApJ...815..129S -1.0 -1.0 1.222 46 ""
J033303.62-274518.95 53.2651 -27.7553 23.3 19.1 16.6 "$9.7 \pm 0.6$" 0.1 "$2.7 \pm 0.8$" 1.21 0.01 0.03 nan None 18.2 -14.46 SN-C3 1.256 2010ApJS..191..124S -1.0 -1.0 1.256 47 ""
J032746.95-280148.94 51.9456 -28.0303 23.9 5.9 9.8 "$8.6 \pm 0.6$" 0.2 "$2.7 \pm 0.9$" 0.44 0.04 0.01 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.44 48 ""
J032718.80-280047.54 51.8284 -28.0132 23.7 15.1 14.1 "$7.3 \pm 0.7$" -0.0 "$2.2 \pm 0.4$" 0.17 0.02 0.01 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.17 49 ""
J032813.02-280311.59 52.0543 -28.0532 21.0 25.7 19.8 "$9.9 \pm 0.6$" 0.1 "$2.5 \pm 0.8$" 0.95 0.15 0.40 nan None 0.6 nan SN-C3 -1.0 "" -1.0 -1.0 0.95 50 ""
J032818.33-280227.70 52.0764 -28.041 20.5 25.1 19.7 "$10.2 \pm 0.2$" 0.8 "$2.5 \pm 0.8$" 1.1 0.10 0.45 0.9604 2dF 1.0 nan SN-C3 -1.0 "" -1.0 -1.0 0.9604 51 ""
J032713.88-280155.24 51.8078 -28.032 22.5 18.8 16.3 "$9.4 \pm 0.5$" 0.1 "$1.9 \pm 0.4$" 1.4 0.15 0.25 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 1.4 52 ""
J032813.43-280524.80 52.056 -28.0902 24.0 7.5 8.7 "$8.8 \pm 0.4$" 0.0 "$2.7 \pm 0.8$" 1.45 0.02 0.02 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 1.45 53 ""
J032733.54-280510.49 51.8897 -28.0862 21.4 25.4 20.0 "$10.2 \pm 0.5$" 0.2 "$2.8 \pm 0.7$" 1.05 0.10 0.40 nan None 1.0 nan SN-C3 -1.0 "" -1.0 -1.0 1.05 54 ""
J032813.56-280433.51 52.0565 -28.076 21.3 24.9 19.2 "$9.9 \pm 0.4$" 0.1 "$2.6 \pm 0.8$" 1.4 0.35 0.20 1.5214 2dF 17.5 nan SN-C3 -1.0 "" -1.0 -1.0 1.5214 55 ""
J032818.10-280747.81 52.0754 -28.1299 20.8 25.6 19.9 "$10.2 \pm 0.6$" 0.0 "$3.2 \pm 0.6$" 0.9 0.20 0.35 nan None 0.7 nan SN-C3 0.894 2017AJ....153..107T 0.8926100134849548 -1.0 0.8926100134849548 56 ""
J032817.55-281000.79 52.0731 -28.1669 24.1 3.9 9.2 "$7.9 \pm 0.5$" 0.1 "$2.2 \pm 0.5$" 0.54 0.03 0.01 nan None nan nan SN-C3 -1.0 "" 0.17000000178813934 -1.0 0.1636 57 "0.62 arcsec away, manually inputed redshift after changing SIMBAD radius parameter. https://simbad.cds.unistra.fr/simbad/sim-id?Ident=%4024182556&Name"
J032717.29-281451.16 51.822 -28.2475 24.0 10.7 11.8 "$9.5 \pm 0.5$" 0.1 "$2.3 \pm 0.7$" 0.86 0.03 0.01 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.86 58 ""
J032715.81-281418.81 51.8159 -28.2386 21.0 22.5 17.9 "$9.8 \pm 0.6$" 0.0 "$1.6 \pm 0.2$" 0.65 0.45 0.30 nan None 0.6 nan SN-C3 0.7044 2012MNRAS.426.3334M -1.0 -1.0 0.7044 59 ""
J032853.99-281707.02 52.225 -28.2853 20.1 25.1 19.0 "$9.9 \pm 0.5$" 0.0 "$2.3 \pm 0.7$" 1.0 0.30 0.40 nan None 1.0 nan SN-C3 1.0 2012MNRAS.426.3334M 0.9999799728393555 -1.0 0.9999799728393555 60 ""
J032836.26-282015.41 52.1511 -28.3376 22.7 16.0 13.8 "$7.8 \pm 0.6$" 0.1 "$2.2 \pm 0.4$" 0.17 0.04 0.03 nan None 1.2 nan SN-C3 -1.0 "" -1.0 -1.0 0.17 61 ""
J032907.24-282128.63 52.2802 -28.358 24.2 3.5 8.1 "$10.4 \pm 0.2$" 1.1 "$3.0 \pm 0.7$" 1.01 0.03 0.03 nan None 0.7 nan SN-C3 -1.0 "" -1.0 -1.0 1.01 62 ""
