ID logMs logMs_e SF_excess chi2
1 10.96 0.06 1.4 4.8
2 8.63 0.24 1.0 1.6
3 10.39 0.12 0.9 3.0
4 10.16 0.59 1.3 6.3
5 9.13 0.31 1.1 2.8
6 11.31 0.12 1.1 1.3
7 11.19 0.11 1.3 1.2
8 11.21 0.07 2.5 6.5
9 10.75 0.11 1.4 2.3
10 10.75 0.09 1.2 2.7
11 9.86 0.18 0.9 1.5
12 11.14 0.05 1.6 3.1
13 7.51 0.63 0.9 1.8
14 11.2 0.08 1.1 1.9
15 10.95 0.27 1.2 1.5
16 9.24 0.03 1.0 4.6
17 11.29 0.08 0.9 1.9
18 11.29 0.03 1.3 7.4
19 7.94 0.06 1.7 3.8
20 10.24 0.2 1.2 2.5
21 10.5 0.07 1.2 1.7
22 9.78 0.37 0.8 1.0
23 7.69 0.51 1.0 1.8
24 8.33 0.27 1.0 1.6
25 8.73 0.65 0.9 2.7
26 8.98 0.16 1.5 0.6
27 9.87 0.16 1.2 2.9
28 8.71 1.55 1.0 2.3
29 8.69 0.16 1.3 1.5
30 11.21 0.06 1.3 1.7
31 7.29 0.07 1.7 2.2
32 10.83 0.14 1.4 1.3
33 7.43 0.17 1.3 1.2
34 11.26 0.08 1.2 1.9
35 10.9 0.08 1.3 1.5
36 9.17 0.37 1.2 1.0
37 10.3 0.44 1.1 4.2
38 10.77 0.15 1.6 1.5
39 9.77 1.13 1.1 1.4
40 11.17 0.05 1.7 2.1
41 8.44 0.28 1.1 1.8
42 10.14 0.14 1.3 3.6
43 10.89 0.15 1.2 1.9
44 11.37 0.08 1.1 3.4
45 9.93 0.22 1.3 0.3
46 11.3 0.11 1.2 1.6
47 10.11 0.34 1.0 1.2
48 9.47 0.19 1.0 1.4
49 8.83 0.06 1.0 2.3
50 10.49 0.22 1.2 2.5
51 10.47 0.2 1.1 0.4
52 10.1 0.13 1.1 1.2
53 9.75 0.31 1.1 3.8
54 11.11 0.1 1.2 1.3
55 11.45 0.02 1.3 5.7
56 11.11 0.09 1.4 1.3
57 7.13 0.11 1.0 1.3
58 10.13 0.19 1.1 0.8
59 10.94 0.11 1.5 1.0
60 10.35 0.58 1.1 0.9
61 8.03 0.53 0.9 3.3
62 10.67 0.14 1.2 0.8
63 11.27 0.09 1.2 3.6
64 10.42 0.09 2.0 0.9
65 10.69 0.14 1.4 1.5
66 10.4 0.12 1.4 0.8
67 9.41 0.08 1.2 6.2
68 8.18 0.27 1.2 1.6
69 8.33 0.29 0.9 0.5
70 11.15 0.08 1.8 0.7
71 11.32 0.02 1.6 1.2
72 11.06 0.24 1.1 1.3
73 10.52 0.2 1.2 1.0
74 10.78 0.17 1.4 0.8
75 8.13 0.11 1.1 1.4
76 8.42 0.05 1.2 4.9
77 10.11 0.45 1.1 2.5
78 11.62 0.09 1.7 2.1
79 8.68 0.26 1.2 0.8
80 10.66 0.17 1.2 1.2
81 11.19 0.1 1.1 1.1
82 11.09 0.1 1.6 0.3
83 9.93 0.16 1.4 1.6
84 9.96 0.18 1.1 0.7
85 10.28 0.11 1.4 1.5
86 10.5 0.08 1.4 1.1
87 10.36 0.2 1.0 2.2
88 10.95 0.15 1.2 1.5
89 10.49 0.21 1.3 1.3
90 11.38 0.1 1.7 1.8
91 10.51 0.09 1.7 3.1
92 6.85 0.39 1.1 1.0
93 11.55 0.04 1.0 2.9
94 10.39 0.11 1.7 1.4
95 10.57 0.1 1.8 1.0
96 8.64 0.2 1.2 0.9
97 10.74 0.18 1.5 1.5
98 9.2 0.02 1.1 4.7
99 7.23 0.12 1.1 3.8
100 7.93 0.41 1.0 0.6
101 11.25 0.13 1.2 0.7
102 9.61 0.31 1.0 1.7
103 8.68 0.14 1.2 1.4
104 10.57 0.35 1.0 1.5
105 11.32 0.08 1.9 1.0
106 7.82 0.12 1.0 0.6
107 9.08 0.59 1.1 1.0
108 10.85 0.12 1.0 1.5
109 10.59 0.07 1.5 1.5
