HSC-z r_HSC-z SIMBAD-z bib_SIMBAD-z name
0.0 none 0.0 ------------------- ""
3.499 spec 3.5026 2014A&A...563A..54P "SDSS J100256.53+021158.4"
0.977 spec 0.979 2009ApJ...696.1195T "SDSS J100256.04+020923.2"
0.573 spec 0.5727 2018A&A...611A..53J "COSMOS2015 552225"
0.585 spec 0.5824 2009ApJ...696.1195T "SDSS J100307.82+021134.9"
0.664 spec 0.6652 2009ApJ...696.1195T "SDSS J100252.84+021452.8"
1.964 spec 1.9555 2009ApJ...696.1195T "[VV2006] J100309.2+022038"
1.999 spec 2.0051 2009ApJ...696.1195T "[VV2006] J100251.7+022905"
0.0 none 0.0 ------------------- ""
1.826 spec 1.826 2018ApJ...858...77H "ACS-GC 20054816"
1.565 spec 0.925 2009ApJ...696.1195T "SDSS J100238.62+015831.2"
1.518 spec 1.5157 2009ApJ...696.1195T "[VV2006] J100236.7+015948"
1.234 phot 1.2338 2009ApJ...696.1195T "2XMM J100243.8+020502"
0.0 none 0.0 ------------------- ""
1.61 spec 1.6092 2009ApJ...696.1195T "ACS-GC 20054857"
0.0 none 0.0 ------------------- ""
2.322 spec 1.2651 2009ApJ...696.1195T "SDSS J100214.15+020620.5"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.098 spec 1.0984 2009ApJ...696.1195T "[VV2006] J100249.9+021732"
0.569 spec 0.5545 2009ApJ...696.1195T "ACS-GC 20081197"
2.026 spec 2.0302 2009ApJ...696.1195T "[VV2006] J100219.5+021315"
0.827 spec 0.83 2009ApJ...696.1195T "ACS-GC 20084152"
1.295 spec 1.2945 2009ApJ...696.1195T "[VV2006] J100226.4+021923"
3.649 phot 3.65 2018PASJ...70S..10O "COSMOS2015 720289"
0.816 spec 0.8152 2009ApJ...696.1195T "SDSS J100231.25+022716.3"
1.634 spec 0.9736 2009ApJ...696.1195T "ACS-GC 20111946"
2.836 spec 2.837 2014A&A...563A..54P "SDSS J100223.93+022353.5"
1.146 phot 1.1461 2009ApJ...696.1195T "ACS-GC 20137732"
2.735 phot 2.7456 2009ApJ...696.1195T "ACS-GC 20138435"
0.983 spec 0.9575 2009ApJ...696.1195T "ACS-GC 20109680"
0.0 none 0.0 ------------------- ""
0.375 spec 0.3757 2009ApJ...696.1195T "SDSS J100243.95+023428.6"
0.657 spec 0.6577 2009ApJ...696.1195T "SDSS J100232.13+023537.3"
0.881 spec 0.8781 2009ApJ...696.1195T "SDSS J100231.91+023507.4"
2.122 spec 2.1236 2009ApJ...696.1195T "[VV2006] J100249.3+023746"
1.222 spec 1.223 2007ApJS..172...70L "SDSS J100232.48+023859.6"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.492 spec 1.1433 2009ApJ...696.1195T "ACS-GC 20139017"
0.0 none 0.0 ------------------- ""
0.667 spec 0.6689 2009ApJ...696.1195T "ACS-GC 20137619"
1.143 spec 1.1417 2009ApJ...696.1195T "SDSS J100213.16+023827.8"
1.446 spec 1.4429 2009ApJ...696.1195T "ACS-GC 20136462"
1.405 phot 1.405 2018ApJ...858...77H "ACS-GC 20009991"
0.0 none 0.0 ------------------- ""
1.571 spec 1.5705 2009ApJ...696.1195T "[VV2006] J100130.3+014304"
0.0 none 0.0 ------------------- ""
0.957 phot 0.9573 2009ApJ...696.1195T "SDSS J100156.43+014810.9"
0.832 spec 0.8314 2009ApJ...696.1195T "ACS-GC 20007062"
2.237 spec 2.2378 2007ApJS..172...70L "ACS-GC 20030026"
2.405 spec 4.426 2018ApJ...858...77H "COSMOS2015 382203"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
2.084 spec 2.0763 2009ApJ...696.1195T "COSMOS2015 353591"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.416 spec 1.373 2018ApJ...858...77H "ACS-GC 20033417"
1.162 spec 2.1809 2009ApJ...696.1195T "2XMM J100143.4+015606"
2.28 spec 2.2806 2009ApJ...696.1195T "2XMM J100136.2+015442"
0.0 none 0.0 ------------------- ""
1.173 spec 1.1713 2007ApJS..172...70L "SDSS J100147.04+020236.5"
0.669 spec 0.66876 2015ApJS..219...12A "2XMM J100146.4+020256"
0.0 none 0.0 ------------------- ""
2.268 spec 2.2699 2009ApJ...696.1195T "ACS-GC 20058793"
1.121 spec 1.221 2018ApJ...858...77H "ACS-GC 20059075"
0.424 spec 0.42428 2018ApJS..234...21D "ACS-GC 20056888"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.638 spec 1.6411 2009ApJ...696.1195T "ACS-GC 20084352"
1.271 spec 1.2711 2009ApJ...696.1195T "SDSS J100206.28+021441.8"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.836 phot 1.8281 2009ApJ...696.1195T "ACS-GC 20111734"
0.894 spec 0.8913 2009ApJ...696.1195T "SDSS J100122.17+021334.5"
0.0 none 0.0 ------------------- ""
1.521 spec 1.5101 2009ApJ...696.1195T "SDSS J100130.77+021146.8"
1.259 spec 1.253 2018A&A...613A..51P "SDSS J100123.01+020851.1"
1.387 spec 1.3875 2018ApJ...858...77H "COSMOS2015 576066"
0.979 phot 0.982 2009ApJ...696.1195T "2XMM J100141.3+021031"
1.177 spec 1.1874 2009ApJ...696.1195T "SDSS J100128.00+021819.3"
0.0 none 0.0 ------------------- ""
0.891 spec 0.8936 2009ApJ...696.1195T "COSMOS2015 623908"
2.026 spec 2.0318 2009ApJ...696.1195T "[VV2006] J100145.1+022456"
0.891 spec 0.8913 2007ApJS..172...70L "ACS-GC 20112826"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.985 spec 0.9877 2009ApJ...696.1195T "[VV2006] J100202.8+022434"
0.421 spec 1.2995 2009ApJ...696.1195T "ACS-GC 20266822"
2.027 spec 2.0313 2009ApJ...696.1195T "[VV2006] J100159.7+022641"
1.71 spec 1.7076 2009ApJ...696.1195T "2XMM J100124.8+022031"
2.031 spec 2.0416 2009ApJ...696.1195T "[VV2006] J100137.6+022156"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
2.054 spec 2.0566 2009ApJ...696.1195T "2XMM J100149.6+023853"
