ID RAdeg DEdeg i-mag X-flag g-flag r-flag i-flag z-flag n-corr z r_z ID-COSMOS2015 bibcode flag_magellean z_magellean flag_deimos z_deimos flag_sdss z_sdss
1 150.74386 2.20245 22.71 1 1 1 1 1 6 1.561 3 594392 2016ApJ...817...34M False -1.0 False -1.0 False -1.0
2 150.73557 2.19957 20.36 1 1 1 1 1 6 3.503096 1 592797 "HSC miscellaneous" False -1.0 False -1.0 True 3.503166
3 150.73353 2.15646 20.88 1 1 1 1 1 6 0.9769 1 565402 "HSC miscellaneous" True 0.979 False -1.0 False -1.0
4 150.79702 2.13888 21.01 1 1 1 1 1 6 0.5727 1 552225 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
5 150.78259 2.19306 20.63 1 1 1 1 1 6 0.5847 1 589540 "HSC miscellaneous" True 0.5824 False -1.0 False -1.0
6 150.72019 2.24803 21.13 1 1 1 1 1 6 0.6633 1 625595 "HSC miscellaneous" True 0.6652 False -1.0 False -1.0
7 150.78838 2.34399 19.82 1 1 1 1 1 6 1.964449 1 689768 "HSC miscellaneous" False -1.0 False -1.0 True 1.964449
8 150.71511 2.48483 19.2 1 1 1 1 1 6 1.995 1 782508 "HSC miscellaneous" False -1.0 False -1.0 True 2.002805
9 150.71391 1.97214 22.87 1 1 1 1 1 5 1.474 3 445280 2016ApJ...817...34M False -1.0 False -1.0 False -1.0
10 150.63146 2.00264 23.26 1 1 1 1 1 6 1.826 1 463657 "HSC miscellaneous" True -1.0 True 1.826 False -1.0
11 150.66094 1.97536 21.47 1 1 1 1 1 6 1.5652 1 448411 "HSC miscellaneous" True 0.925 False -1.0 False -1.0
12 150.65294 1.99685 19.52 1 1 1 1 1 6 1.517696 1 460965 "HSC miscellaneous" False -1.0 False -1.0 True 1.517696
13 150.68274 2.08403 20.72 1 1 1 1 1 5 1.2338 0 516177 2009ApJ...696.1195T True 1.2338 False -1.0 False -1.0
14 150.5845 2.02168 23.28 1 1 1 1 1 6 1.91 3 475665 2016ApJ...817...34M False -1.0 False -1.0 False -1.0
15 150.61224 1.99442 21.4 1 1 1 1 1 6 1.6099 1 458826 "HSC miscellaneous" True 1.6092 False -1.0 False -1.0
16 150.57489 1.97677 20.98 1 1 1 1 1 6 1.541 1 448517 "HSC miscellaneous" False -1.0 True 1.541 False -1.0
17 150.55903 2.10576 22.61 1 1 1 1 1 6 2.3219 1 529336 "HSC miscellaneous" True 1.2651 False -1.0 False -1.0
18 150.53573 2.0578 21.75 1 1 1 1 1 6 1.1966 1 499247 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
19 150.70416 2.29746 21.59 1 1 1 1 1 6 2.7391756 1 657703 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
20 150.70801 2.29233 21.09 1 1 1 1 1 6 1.098 1 654576 "HSC miscellaneous" True 1.0984 False -1.0 False -1.0
21 150.57634 2.18139 19.16 1 1 1 1 1 5 0.555 1 581391 "HSC miscellaneous" True 0.5545 True 0.555 False -1.0
