# ----- ----- ------------------- ------------------------- ------- ---------------
#  r_z  count       bibcode              description        comment     refcode    
# ----- ----- ------------------- ------------------------- ------- ---------------
# 0     319   see below           SIMBAD                            -              
# 1     91    see below           HSC DR3                           -              
# z0_03 178   2009ApJ...696.1195T Magellan XMM AGN                  Trump2009      
# z1_01 134   2009ApJS..184..218L zCOSMOS 10k-bright $^a$           Lilly2009      
# z1_06 78    2018ApJ...858...77H DEIMOS 10K     $^a$               Hasinger2018   
# z1_09 64    2013ApJ...767..118C PRIMUS         $^a$               Cool2013       
# 3     52    2016ApJ...819...62C COSMOS2020                        Civano2016     
# z0_18 45    2018ApJ...858...77H DEIMOS 10K                        Hasinger2018   
# z1_03 45    2020ApJS..249....3A SDSS DR16      $^a$               Ahumada2020    
# z1_07 35    2015ApJS..220...12S FMOS COSMOS DR2$^a$               Silverman2015  
# z0_01 32    2007ApJS..172...70L zCOSMOS DR3                       Lilly2007      
# 5     17    2016ApJ...817...34M Chandra COSMOS legacy             Marchesi2016   
# z1_02 14    2016ApJS..225...27M 3D-HST v4.1.5  $^a$               Momcheva2016   
# z0_30 11    2021ApJS..256...44V LEGA-C DR3                        van der Wel2021
# z0_11 6     2015ApJS..220...12S FMOS-COSMOS                       Silverman2015  
# z1_08 6     2018ApJS..239...27S LEGA-C DR2     $^a$               Straatman2018  
# z0_21 5     2018ApJS..239...22S FMOS-COSMOS AGN NIR               Schulze2018    
# z0_20 4     2018ApJS..234...21D hCOSMOS                           Damjanov2018   
# z0_10 4     2015ApJS..219...12A SDSS DR12                         Alam2015       
# z0_07 4     2014A&A...563A..54P SDSS DR10 quasar cat              Pâris2014      
# z0_08 3     2014MNRAS.443.2679B GEEC2                             Balogh2014     
# z0_09 3     2015ApJ...806L..35K FMOS-COSMOS NIR                   Kartaltepe2015 
# z0_26 3     2020AJ....160...37M CLAMATO                           Monzon2020     
# z0_17 2     2018A&A...613A..51P SDSS DR14 quasar cat              Pâris2018      
# z0_19 2     2018ApJ...869...20B IMACS faint AGN                   Boutsia2018    
# z1_05 2     2013A&A...559A..14L VVDS DRFinal   $^a$               Le Fèvre2013   
# z0_06 1     2012ApJS..203...21A SDSS DR9                          Ahn2012        
# z0_04 1     2012ApJ...753..121K zCOSMOS 20k Group                 Knobel2012     
# z0_02 1     2009ApJ...693....8B z>3 X-ray QSOs                    Brusa2009      
# z0_05 1     2012ApJ...758...47A z<1 X-ray AGN                     Allevato2012   
# z0_16 1     2018A&A...611A..53J VVDS reprocessed                  Jamal2018      
# z0_12 1     2016ApJ...822...42O Star-forming Galaxies NIR         Onodera2016    
# z0_13 1     2016MNRAS.456.1195H KASHz                             Harrison2016   
# z0_14 1     2016MNRAS.458.4321K SCUBA-2                           Koprowski2016  
# z0_15 1     2017MNRAS.467.1965H KROSS                             Harrison2017   
# z0_22 1     2018ApJS..239...27S LEGA-C DR2                        Straatman2018  
# z0_23 1     2018PASJ...70S..10O GOLDRUSH                          Ono2018        
# z0_24 1     2019ApJ...877...81M C3R2 DR2                          Masters2019    
# z0_25 1     2020A&A...633A.159R SMUVS Lya emitters                Rosani2020     
# z0_27 1     2020ApJ...903...24M HETDEX LAEs/eBOSS QSOs            Mukae2020      
# z0_28 1     2020ApJS..250....8L SDSS DR16 QSOs                    Lyke2020       
# z0_29 1     2021ApJS..256....9S C3R2 DR3                          Stanford2021   
# z1_04 1     2017ApJ...841..111M C3R2 DR1       $^a$               Masters2017    
 ID     RAdeg   DEdeg i-mag X-flag g-flag r-flag i-flag z-flag n-corr ID-COSMOS2015           z z_phot       z0          z1    z2   z3    z4    z5 r_z r_z0 r_z1 r_z4
=== ========= ======= ===== ====== ====== ====== ====== ====== ====== ============= =========== ====== ======== =========== ===== ==== ===== ===== === ==== ==== ====
  1 150.74386 2.20245 22.71      1      1      1      1      1      6        594392        1.58   1.58     -1.0        -1.0  -1.0 1.58 1.561  -1.0   3   -1   -1    3
  2 150.73557 2.19957 20.36      1      1      1      1      1      6        592797      3.5026   -1.0   3.5026    3.503096  -1.0 -1.0 3.499  -1.0   0    7    3    1
  3 150.73353 2.15646 20.88      1      1      1      1      1      6        565402       0.979   1.03    0.979      0.9769  -1.0 1.03 0.977  -1.0   0    3    1    1
  4 150.79702 2.13888 21.01      1      1      1      1      1      6        552225      0.5727   0.51   0.5727      0.5727  -1.0 0.51 0.573  -1.0   0   16    5    1
  5 150.78259 2.19306 20.63      1      1      1      1      1      6        589540      0.5824   -1.0   0.5824      0.5847  -1.0 -1.0 0.585  -1.0   0    3    5    1
  6 150.72019 2.24803 21.13      1      1      1      1      1      6        625595      0.6652   0.62   0.6652      0.6633  -1.0 0.62 0.664  -1.0   0    3    1    1
  7 150.78838 2.34399 19.82      1      1      1      1      1      6        689768      1.9555    2.0   1.9555    1.964449  -1.0  2.0 1.964  -1.0   0    3    3    1
  8 150.71511 2.48483  19.2      1      1      1      1      1      6        782508      2.0051   -1.0   2.0051       1.995  -1.0 -1.0 1.999  -1.0   0    3    1    1
  9 150.71391 1.97214 22.87      1      1      1      1      1      5        445280        1.53   1.53     -1.0        -1.0  -1.0 1.53 1.474  -1.0   3   -1   -1    3
 10 150.63146 2.00264 23.26      1      1      1      1      1      6        463657       1.826   0.88    1.826       1.826 1.826 0.88 1.826  -1.0   0   18    6    2
 11 150.66094 1.97536 21.47      1      1      1      1      1      6        448411       0.925   0.04    0.925      1.5652  -1.0 0.04 1.565  -1.0   0    3    1    1
 12 150.65294 1.99685 19.52      1      1      1      1      1      6        460965      1.5157   -1.0   1.5157    1.517696  -1.0 -1.0 1.518  -1.0   0    3    3    1
 13 150.68274 2.08403 20.72      1      1      1      1      1      5        516177      1.2338   1.24   1.2338        -1.0  -1.0 1.24 1.234 1.234   0    3   -1    3
 14  150.5845 2.02168 23.28      1      1      1      1      1      6        475665        1.91   0.61     -1.0        -1.0  -1.0 0.61  1.91  1.91   5   -1   -1    3
 15 150.61224 1.99442  21.4      1      1      1      1      1      6        458826      1.6092    2.2   1.6092      1.6099  -1.0  2.2  1.61  -1.0   0    3    1    1
 16 150.57489 1.97677 20.98      1      1      1      1      1      6        448517       1.541   1.12     -1.0       1.541  -1.0 1.12  1.54  -1.0   1   -1    6    1
 17 150.55903 2.10576 22.61      1      1      1      1      1      6        529336      1.2651   -1.0   1.2651      2.3219  -1.0 -1.0 2.322  -1.0   0    3    1    1
 18 150.53573  2.0578 21.75      1      1      1      1      1      6        499247      1.1966   1.23     -1.0      1.1966  -1.0 1.23 1.199  -1.0   1   -1    1    1
 19 150.70416 2.29746 21.59      1      1      1      1      1      6        657703   2.7391756   2.75     -1.0   2.7391756  -1.0 2.75 2.739  -1.0   1   -1    9    1
 20 150.70801 2.29233 21.09      1      1      1      1      1      6        654576      1.0984   -1.0   1.0984       1.098  -1.0 -1.0 1.098  -1.0   0    3    1    1
 21 150.57634 2.18139 19.16      1      1      1      1      1      5        581391      0.5545   0.73   0.5545       0.555  -1.0 0.73 0.569  -1.0   0    3    6    1
 22 150.58112 2.22107 21.92      1      1      1      1      1      6        606414      2.0302   1.99   2.0302   2.0255485  -1.0 1.99 2.026  -1.0   0    3    9    1
