name z ra dec separation(deg) targetid healpix
625595 0.6643039 150.72019 2.24803 1.4143718697466735e-05 39627841612026982 27257
445280 0.3396386 150.71391 1.97214 2.945174161361264e-05 39627835572228953 27256
581391 0.55451995 150.57634 2.18139 2.1640306411602376e-05 39627841612023838 27256
585366 0.82891786 150.53187 2.18892 2.1826812103633355e-05 39627841612022680 27256
794377 0.212926 150.56727 2.50359 8.349899567108916e-06 39627847651821162 27259
837822 0.37526414 150.68315 2.57464 8.81100546447446e-06 39627847651823688 27259
854964 0.6565966 150.63388 2.59371 1.3533146296467984e-05 39627847651822631 27259
320331 0.83181596 150.49168 1.77262 3.2474143050950284e-05 39627829528237300 27256
337029 0.6401436 150.38317 1.79884 1.3237448396067378e-05 39627829528234801 27256
494577 0.66867685 150.44368 2.0491 1.395947493306385e-05 39627835568034315 27256
518166 0.42418393 150.41834 2.08515 2.4443110991715696e-05 39627835568033645 27256
897743 0.8499916 150.49762 2.65989 3.1598151787954355e-05 39627853687428528 27259
316931 0.6227315 150.24252 1.76643 4.605428354695138e-05 39627829524042891 27256
747883 0.69400173 150.24463 2.43227 3.96541466481435e-05 39627847643436811 27258
890192 0.7315123 150.22416 2.65113 2.5450698849345135e-05 39627853683233801 27259
649852 0.18546778 150.13803 2.29165 4.4073252389502164e-05 39627841603637025 27258
763293 0.72850454 150.06218 2.45503 4.303929823729068e-05 39627847643432474 27258
878415 0.8083875 150.04251 2.62916 3.727329147351945e-05 39627853683229695 27258
890018 0.69758505 150.06065 2.64796 0.0011376979286694658 39627853683230084 27258
348345 0.73498094 149.8347 1.81766 3.574482049785643e-05 39627829519845043 27256
397900 0.44373855 149.86204 1.89485 3.2353585055133605e-05 39627835559643246 27258
593404 0.68484324 149.91244 2.20032 2.104537324379656e-06 39627841599443104 27258
554361 0.35437787 149.7819 2.13906 6.16099787429379e-06 39627841599439665 27258
674574 0.37744114 149.78977 2.3212 7.88958556935295e-06 39627841599439871 27258
650697 0.76163596 149.80407 2.28813 0.0008952431480099064 39627841599440233 27258
696906 0.34576967 149.86803 2.35185 1.554146159014272e-05 39627841599441914 27258
829342 0.75287807 149.91067 2.55465 2.558914250999213e-05 39627847639240119 27258
834892 0.70301956 149.79619 2.56411 2.0412523124326887e-05 39627847639237524 27258
551328 0.33893985 149.66802 2.13535 2.7743441659956076e-05 39627841595248463 27258
645944 0.7300934 149.70633 2.27795 1.8592832148163295e-05 39627841595249514 27258
773838 0.6920279 149.61116 2.47171 1.9363887726648333e-05 39627847635044499 27258
824019 0.37035826 149.69582 2.54905 0.0007021643611202048 39627847635046126 27258
859825 0.7333475 149.65568 2.60081 4.059314930338679e-06 39627847635045316 27258
677692 0.73083824 149.5731 2.32739 3.784257181751915e-05 39627841595246116 27258
604416 0.6218641 150.42124 2.21663 2.174387429756895e-05 39627841607831822 27256
505243 0.676721 149.73766 2.0652 6.213829954349878e-06 39627835555452056 27258
373875 0.8347638 149.99286 1.85788 3.994840812243283e-05 39627829519847945 27256
905927 0.6732983 150.6837 2.67274 1.8854875872296907e-05 39627853691621300 27259
772429 0.6575696 149.75092 2.46991 1.9029032897277777e-05 39627847639236653 27258
860713 0.27034596 149.69657 2.60549 0.0012759182395828776 39627847635046096 27258
861552 0.73094654 150.14325 2.60621 3.8283384491872076e-05 39627847643434494 27258
519494 0.3782848 149.7372 2.0898 0.0012203553377585915 39627835555452017 27258
558743 0.32554224 150.70922 2.14744 1.566709926292265e-05 39627841612026777 27256
923481 0.35068837 150.11043 2.70826 4.12756377586581e-05 39627853683231193 27259
