Object ID	Redshift	log M_BH	log L_bol	log M_stellar
cid_36	1.826	9.38 +or- 0.06	45.63	${12.18}_{-0.04}^{+0.00}$
cid_61	1.478	8.62 +or- 0.00	45.38	${11.48}_{-0.15}^{+0.00}$
cid_66	1.512	8.45 +or- 0.03	45.77	${11.21}_{-0.01}^{+0.24}$
cid_69	0.979	8.42 +or- 0.78	45.68	${11.22}_{-0.06}^{+0.19}$
cid_70	1.638	8.85 +or- 0.11	45.28	${11.59}_{-0.03}^{+0.16}$
cid_87	1.606	8.77 +or- 0.11	46.69	${11.61}_{-0.00}^{+0.09}$
cid_98	1.506	7.74 +or- 0.05	45.59	${10.79}_{-0.64}^{+0.40}$
cid_102	1.847	8.75 +or- 0.23	45.81	${11.09}_{-0.28}^{+0.14}$
cid_103	1.431	8.26 +or- 0.08	45.63	${11.03}_{-0.12}^{+0.16}$
cid_110	0.729	7.90 +or- 0.15	45.02	${10.84}_{-0.31}^{+0.34}$
cid_120	1.002	7.47 +or- 0.06	45.18	${10.67}_{-0.55}^{+0.22}$
cid_142	0.699	8.43 +or- 0.16	45.50	${11.25}_{-2.84}^{+0.00}$
cid_157	1.333	8.56 +or- 0.39	45.46	${11.25}_{-0.00}^{+0.21}$
cid_162	2.459	9.20 +or- 0.32	46.10	${10.95}_{-0.00}^{+0.12}$
cid_175	1.627	8.47 +or- 0.77	45.51	${11.09}_{-0.03}^{+0.18}$
cid_179	1.850	8.80 +or- 0.01	46.40	${11.61}_{-0.20}^{+0.08}$
cid_307	2.051	8.92 +or- 0.06	45.94	${11.57}_{-0.13}^{+0.07}$
cid_340	2.188	8.75 +or- 0.08	45.66	${11.13}_{-0.38}^{+0.23}$
cid_346	2.211	9.53 +or- 0.29	45.96	${11.90}_{-0.04}^{+0.00}$
cid_356	1.034	8.27 +or- 0.07	45.12	${11.11}_{-0.16}^{+0.08}$
cid_358	0.372	8.32 +or- 0.11	45.61	${10.66}_{-1.17}^{+0.00}$
cid_369	1.172	8.66 +or- 0.18	45.32	${11.05}_{-0.12}^{+0.36}$
cid_389	1.537	9.13 +or- 0.32	45.23	${11.13}_{-0.26}^{+0.12}$
cid_395	2.175	9.50 +or- 0.18	46.29	${11.71}_{-0.11}^{+0.21}$
cid_399	2.177	9.24 +or- 0.11	45.96	${11.80}_{-0.03}^{+0.00}$
cid_438	1.650	8.74 +or- 0.13	45.96	${11.40}_{-0.10}^{+0.00}$
cid_452	1.406	8.57 +or- 0.29	45.79	${11.07}_{-0.92}^{+0.00}$
cid_454	1.478	8.71 +or- 0.23	45.55	${11.52}_{-0.19}^{+0.00}$
cid_467	2.286	9.56 +or- 0.01	46.59	${12.28}_{-0.29}^{+0.00}$
cid_481	2.283	8.72 +or- 0.01	45.68	${11.22}_{-0.06}^{+0.12}$
cid_492	0.967	9.06 +or- 0.10	45.87	${11.34}_{-0.07}^{+0.17}$
cid_495	2.015	9.40 +or- 0.00	45.55	${11.52}_{-0.00}^{+0.00}$
cid_510	1.131	8.36 +or- 0.11	45.65	${11.72}_{-0.00}^{+0.14}$
cid_512	1.516	8.41 +or- 0.06	45.98	${11.99}_{-0.09}^{+0.06}$
cid_513	1.122	9.10 +or- 0.02	46.37	${11.80}_{-0.00}^{+0.14}$
cid_517	2.097	8.45 +or- 0.19	45.17	${11.51}_{-0.14}^{+0.07}$
cid_531	1.845	7.85 +or- 0.34	45.35	${10.87}_{-0.23}^{+0.18}$
cid_536	0.880	8.66 +or- 0.08	45.40	${11.00}_{-0.13}^{+0.14}$
cid_543	1.298	8.68 +or- 0.59	45.03	${11.03}_{-0.07}^{+0.23}$
cid_548	1.639	8.73 +or- 0.09	45.74	${11.31}_{-0.17}^{+0.04}$
cid_556	1.607	8.34 +or- 0.03	45.75	${10.99}_{-0.03}^{+0.03}$
cid_566	1.458	8.87 +or- 0.10	45.84	${10.99}_{-0.38}^{+0.06}$
cid_596	1.836	8.55 +or- 0.08	45.88	${11.43}_{-0.07}^{+0.02}$
cid_599	1.081	8.62 +or- 0.12	45.01	${11.19}_{-0.30}^{+0.01}$
cid_604	1.343	8.60 +or- 0.04	45.60	${11.49}_{-0.04}^{+0.06}$
cid_632	0.825	7.70 +or- 0.04	45.42	${10.49}_{-0.25}^{+0.01}$
cid_642	1.369	8.58 +or- 0.09	45.39	${11.33}_{-0.02}^{+0.09}$
cid_644	0.986	8.39 +or- 0.08	45.37	${11.47}_{-0.54}^{+0.00}$
cid_807	1.796	8.03 +or- 0.04	45.07	${10.96}_{-0.01}^{+0.22}$
cid_864	1.617	8.47 +or- 0.06	44.79	${11.47}_{-0.03}^{+0.00}$
cid_925	1.817	8.72 +or- 0.14	45.41	${11.78}_{-0.00}^{+0.03}$
cid_933	2.492	8.25 +or- 0.13	45.74	${11.13}_{-0.47}^{+0.15}$
cid_958	1.869	7.88 +or- 0.07	45.28	${10.70}_{-0.71}^{+0.22}$
cid_997	1.998	8.85 +or- 0.00	45.76	${11.94}_{-1.10}^{+0.00}$
cid_1031	1.358	8.20 +or- 0.07	45.05	${11.04}_{-0.18}^{+0.07}$
cid_1044	1.566	8.79 +or- 0.02	46.28	${11.77}_{-0.13}^{+0.11}$
cid_1104	2.218	7.77 +or- 0.32	45.18	${10.76}_{-1.35}^{+0.00}$
cid_1109	1.827	8.09 +or- 0.00	45.60	${10.93}_{-0.28}^{+0.01}$
cid_1141	1.661	8.56 +or- 0.13	44.97	${11.13}_{-0.98}^{+0.07}$
cid_1167	1.855	8.73 +or- 0.06	44.65	${11.17}_{-0.20}^{+0.02}$
cid_1170	1.814	8.09 +or- 0.65	44.97	${11.44}_{-0.44}^{+0.00}$
cid_1174	0.088	5.85 +or- 0.01	45.58	${8.01}_{-0.00}^{+0.00}$
cid_1222	1.759	7.75 +or- 0.01	45.26	${10.83}_{-0.09}^{+0.00}$
cid_1281	1.444	8.55 +or- 0.93	45.16	${10.25}_{-0.55}^{+0.27}$
cid_1305	2.177	8.26 +or- 0.11	44.48	${10.35}_{-0.93}^{+0.22}$
cid_1913	2.089	8.60 +or- 0.11	45.75	${10.78}_{-0.47}^{+0.00}$
cid_1930	1.568	8.93 +or- 0.04	45.97	${12.13}_{-0.11}^{+0.06}$
cid_2252	1.964	8.75 +or- 0.03	44.79	${11.48}_{-0.73}^{+0.00}$
cid_2564	2.010	8.47 +or- 0.07	45.29	${11.02}_{-0.02}^{+0.03}$
cid_2728	1.506	7.69 +or- 0.73	45.18	${10.66}_{-0.11}^{+0.00}$
cid_3021	1.755	7.57 +or- 0.01	45.58	${10.58}_{-0.26}^{+0.04}$
cid_3242	1.530	8.62 +or- 0.23	45.25	${11.40}_{-0.06}^{+0.06}$
cid_3385	1.819	8.19 +or- 0.08	45.46	${10.90}_{-0.08}^{+0.03}$
lid_286	1.205	7.93 +or- 0.02	44.57	${10.99}_{-0.22}^{+0.14}$
lid_291	0.851	8.28 +or- 0.46	45.58	${11.13}_{-0.07}^{+0.00}$
lid_338	1.209	8.06 +or- 0.01	45.83	${11.57}_{-0.23}^{+0.00}$
lid_381	0.767	8.15 +or- 0.07	45.34	${11.46}_{-0.18}^{+0.00}$
lid_405	1.434	8.98 +or- 0.08	46.55	${11.49}_{-0.05}^{+0.21}$
lid_437	1.260	8.54 +or- 0.16	45.59	${11.25}_{-0.53}^{+0.09}$
lid_485	2.034	7.81 +or- 0.69	45.42	${10.94}_{-0.10}^{+0.10}$
lid_491	2.543	8.66 +or- 0.20	46.34	${11.87}_{-0.87}^{+0.00}$
lid_579	2.079	8.84 +or- 0.44	45.87	${11.14}_{-0.00}^{+0.17}$
lid_592	1.561	8.91 +or- 0.43	46.06	${12.35}_{-0.23}^{+0.06}$
lid_636	2.393	7.94 +or- 0.06	45.19	${11.20}_{-0.11}^{+0.08}$
lid_638	1.421	7.36 +or- 0.24	45.13	${10.42}_{-0.78}^{+0.29}$
lid_685	2.039	9.04 +or- 0.18	46.20	${12.35}_{-1.76}^{+0.00}$
lid_736	1.264	8.03 +or- 0.01	45.45	${11.19}_{-0.05}^{+0.06}$
lid_738	1.477	8.42 +or- 0.01	45.14	${11.30}_{-0.00}^{+0.09}$
lid_961	1.507	9.65 +or- 0.02	46.99	${11.38}_{-0.00}^{+0.18}$
lid_1273	1.622	8.49 +or- 0.03	45.37	${11.77}_{-0.00}^{+0.32}$
lid_1305	1.247	8.02 +or- 0.01	45.38	${11.38}_{-0.17}^{+0.06}$
lid_1453	0.736	8.42 +or- 0.14	44.32	${9.96}_{-0.07}^{+0.07}$
lid_1476	1.263	8.22 +or- 0.01	45.34	${11.28}_{-0.08}^{+0.16}$
lid_1502	1.541	8.66 +or- 0.45	45.87	${11.65}_{-1.07}^{+0.00}$
lid_1538	1.523	8.19 +or- 0.05	46.03	${11.84}_{-0.06}^{+0.06}$
lid_1565	1.592	8.46 +or- 0.05	46.73	${11.78}_{-0.32}^{+0.36}$
lid_1590	1.596	8.78 +or- 0.06	45.99	${11.35}_{-0.24}^{+0.02}$
lid_1802	2.084	8.08 +or- 0.06	45.29	${11.16}_{-0.08}^{+0.03}$
lid_1878	1.608	8.90 +or- 0.02	45.69	${11.67}_{-0.04}^{+0.00}$
lid_3456	2.146	8.02 +or- 0.57	45.03	${11.87}_{-0.06}^{+0.00}$
