ID fagn logMs logMs_e dchi2 chi2
1 0.8 10.42 0.29 5.7 6.0
2 0.2 11.77 0.19 3.2 4.1
3 0.2 11.2 0.07 7.2 1.5
4 0.2 10.83 0.06 11.0 2.5
5 0.0 -inf nan 0.0 -0.0
6 0.2 10.91 0.16 12.2 2.4
7 1.0 8.71 1.38 0.0 15.7
9 0.4 11.34 0.02 7.8 3.6
10 0.4 11.23 0.09 6.1 8.3
11 0.8 11.24 0.12 9.1 10.6
12 0.8 11.07 0.49 0.6 2.2
13 0.8 10.21 0.5 0.3 4.3
14 0.2 9.68 0.08 6.5 1.5
15 0.6 10.79 0.18 1.7 0.7
16 0.6 10.79 0.15 1.5 4.1
17 0.6 9.46 0.15 3.6 6.2
18 0.4 9.88 0.46 6.0 4.0
19 0.2 10.31 0.21 1.0 1.9
20 0.0 -inf nan 0.0 -0.0
21 0.2 11.2 0.02 12.5 3.7
22 0.2 10.35 0.37 1.5 3.1
23 0.6 10.46 0.09 4.8 5.0
24 1.0 7.84 2.23 0.0 24.0
25 0.0 10.92 0.02 0.0 4.7
26 0.0 10.99 0.07 0.1 10.8
27 0.0 9.94 0.04 7.2 7.0
28 0.6 10.68 0.27 0.7 6.3
30 0.6 11.22 0.04 7.1 3.9
32 0.8 10.68 0.03 6.1 8.1
33 0.2 10.81 0.09 12.7 6.5
34 0.0 -inf nan 0.0 -0.0
34 0.8 10.38 0.64 0.3 4.7
35 0.2 10.27 0.03 9.4 5.5
36 0.6 9.73 0.85 0.1 8.5
37 0.0 10.44 0.04 0.0 21.3
38 1.0 7.42 3.0 0.0 8.1
39 0.2 9.82 0.23 1.4 2.6
40 1.0 8.73 1.76 0.0 1.0
43 0.6 10.3 0.17 6.9 4.3
44 0.2 10.1 0.06 3.9 2.4
45 0.4 11.41 0.02 13.0 4.5
46 0.8 9.33 0.39 0.5 1.3
47 0.0 -inf nan 0.0 -0.0
48 0.0 -inf nan 0.0 -0.0
49 0.4 10.4 0.08 10.6 5.7
50 0.0 -inf nan 0.0 -0.0
50 0.0 -inf nan 0.0 -0.0
50 0.8 10.69 0.12 13.0 8.4
51 0.2 10.63 0.15 4.1 3.8
52 0.0 10.74 0.17 0.0 2.4
53 0.2 10.5 0.11 6.5 3.5
54 0.4 10.38 0.09 5.9 4.1
55 0.6 10.72 0.08 14.8 4.0
56 0.4 10.22 0.22 1.5 2.5
57 0.0 10.29 0.09 7.4 2.3
58 0.4 9.92 0.18 0.9 0.9
